,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
249,201889361,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
250,240135165,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
251,60419144,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
252,218895461,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
253,339836798,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
254,25374485,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
255,38612758,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
256,23895782,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
257,489867083,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
258,23717312,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
259,400420028,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
260,191941160,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
261,27100025,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
262,193368782,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
263,69732222,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
264,32017564,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
265,154008533,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
266,23319284,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
267,42303216,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
268,42444700,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
269,31774812,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
270,211529989,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
271,23749974,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
272,80045517,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
273,27121159,0.027000000000000003,1,1,3.0,0.11699999999999999,0.29700000000000004,0.7170000000000001,0.597,0.837
274,194297398,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
275,73301563,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
276,81633935,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
277,28447631,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
278,154145185,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
279,154570915,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
280,32003061,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
281,697521726,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
282,31552788,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
283,60770751,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
284,189917769,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
285,24477143,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
286,169123659,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
287,25999054,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
288,206386242,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
289,38567478,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
290,31616326,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
291,4233594,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
292,471246102,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
293,32007290,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
294,41832044,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
295,544831209,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
296,32017407,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
297,11813981,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
298,211532181,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
299,42992883,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
300,494297511,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
301,153988828,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
302,39270398,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
