id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
412,-2.892572,53.418318000000006,2,1,1,1
413,-2.9593439999999998,53.428748999999996,3,1,1,1
414,-2.961353,53.461766000000004,3,1,1,1
415,-2.9524220000000003,53.465847,3,1,1,1
416,-2.9520049999999998,53.426308999999996,3,1,1,1
417,-2.924092,53.443867000000004,3,1,1,1
418,-2.989973,53.402234,2,1,1,1
419,-2.865436,53.385367,3,1,1,1
420,-2.89267,53.353265,3,1,1,1
421,-2.832072,53.341325,2,1,1,1
422,-2.9729900000000002,53.405475,3,4,1,1
423,-2.833025,53.390181000000005,3,1,1,1
424,-2.993048,53.404447,3,1,1,1
425,-2.9056290000000002,53.41528,3,1,1,1
426,-2.9767959999999998,53.403502,3,1,1,1
427,-2.9196020000000003,53.415776,3,1,1,1
428,-2.9222599999999996,53.380069999999996,3,1,1,1
429,-2.894397,53.368299,2,1,1,1
430,-2.9198419999999996,53.433186,2,1,1,1
431,-2.933067,53.44599100000001,3,1,1,1
432,-2.9493810000000003,53.394293999999995,3,1,1,1
433,-2.941529,53.441906,3,1,1,1
434,-2.927977,53.423145,3,1,1,1
435,-2.924888,53.401452,3,1,1,1
436,-2.85538,53.356953000000004,3,1,2,2
437,-2.88829,53.38464200000001,3,1,1,1
438,-2.907588,53.431706000000005,3,1,1,1
439,-2.923241,53.41013,3,1,1,1
440,-2.9032400000000003,53.451648999999996,3,1,1,1
441,-2.900875,53.346982999999994,3,1,1,1
442,-2.987829,53.404499,3,1,1,1
443,-2.956541,53.397732999999995,3,1,1,1
444,-2.9840720000000003,53.40334300000001,3,1,1,1
445,-2.920288,53.428768999999996,3,1,1,1
446,-2.886946,53.419115000000005,3,1,1,1
447,-2.903874,53.413415,2,1,1,1
448,-2.905506,53.415155000000006,3,1,1,1
449,-2.932756,53.436609,2,1,2,2
450,-2.9329110000000003,53.436788,3,1,1,1
451,-2.888127,53.364553,3,1,1,1
452,-2.954803,53.39670400000001,3,4,1,1
453,-2.8923900000000002,53.383720999999994,2,1,1,2
454,-2.938308,53.452861999999996,2,1,9,1
455,-2.89285,53.463188,3,1,1,1
456,-2.915854,53.414322,3,1,1,1
457,-2.969002,53.433201000000004,2,4,1,-1
458,-2.993836,53.404054,3,1,1,1
459,-2.970982,53.389931000000004,3,4,1,1
460,-2.838602,53.345746,3,1,1,1
461,-2.936961,53.413565000000006,3,1,1,1
462,-2.9028680000000002,53.409234,2,1,1,1
463,-2.921185,53.415242000000006,2,1,1,1
464,-2.923909,53.43124,3,1,1,1
465,-2.914401,53.409002,3,1,1,1
466,-2.9075279999999997,53.414736,3,1,1,1
467,-2.988823,53.406486,3,1,1,1
468,-2.9346919999999996,53.372521,3,1,1,1
469,-2.961977,53.462031,2,1,1,2
470,-2.995562,53.407104000000004,3,1,1,1
471,-2.861846,53.383306999999995,3,4,1,2
472,-2.836596,53.346111,3,1,1,1
473,-2.932656,53.440968999999996,3,1,1,1
474,-2.966853,53.447942000000005,2,1,1,1
475,-2.956024,53.40687,3,1,1,1
476,-2.894619,53.440541,3,1,1,1
477,-2.903311,53.459998999999996,1,1,1,1
